DateOfRecord,DateOfEvent,Day,Month,Year,Place,TypeOfRoad,Event,Vehicle1,Vehicle2,Outcome,AgeV1,AgeV2,TypeV2,Crossroad,Hour,H,M,GenderV1,GenderV2,AlchoholV2,Region,Mun,Hours,Mun2,MunLatin,MunLatin2
12.07.2017,11.07.2017,11,07,2017,с.Батинци,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,13,48,Алфа Ромео,не,20:47,20,47,NA,NA,NA,Скопски,Студеничани,20,Студеничани,Studeničani,Studeničani
12.07.2017,11.07.2017,11,07,2017,с.Батинци,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,16,48,Алфа Ромео,не,20:47,20,47,NA,NA,NA,Скопски,Студеничани,20,Студеничани,Studeničani,Studeničani
24.07.2017,23.07.2017,23,07,2017,Тетово,Urban,сообраќајна незгода,велосипед,пешак,непознато,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Полошки,NA,NA,Тетово,Tetovo,Tetovo
28.07.2017,27.07.2017,27,07,2017,с.Ново Село,Rural,сообраќајна незгода,велосипед,автомобил,тешка повреда,7,56,Ауди,не,19:12,19,12,NA,NA,NA,Полошки,Врапчиште,19,Врапчиште,Vrapčište,Vrapčište
31.07.2017,30.07.2017,30,07,2017,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,26,47,Автобус,да,18:50,18,50,NA,NA,NA,Полошки,NA,18,Тетово,Tetovo,Tetovo
26.08.2017,25.08.2017,25,08,2017,Битола,Urban,сообраќајна незгода,велосипед,NA,тешка повреда,8,NA,NA,не,18:40,18,40,NA,NA,NA,Пелагониски,NA,18,Битола,Bitola,Bitola
30.08.2017,29.08.2017,29,08,2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,смрт,66,27,Мерцедес,не,9:40,9,40,NA,NA,NA,Скопски,Илинден,9,Илинден,Skopje,Skopje
31.08.2017,30.08.2017,30,08,2017,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,62,20,Опел Корса,не,22:30,22,30,NA,NA,NA,Полошки,NA,22,Тетово,Tetovo,Tetovo
05.09.2017,04.09.2017,04,09,2017,Скопје,Open,сообраќајна незгода,велосипед,автомобил,смрт,30,61,ФАП,да,14:30,14,30,NA,NA,NA,Скопски,Кисела Вода,14,Кисела Вода,Skopje,Skopje
22.11.2017,21.11.2017,21,11,2017,Битола,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,51,42,Опел Корса,не,18:00,18,00,NA,NA,NA,Пелагониски,NA,18,Битола,Bitola,Bitola
26.11.2017,25.11.2017,25,11,2017,Гостивар,Urban,сообраќајна незгода,велосипед,автомобил,смрт,73,66,Фиат Темпра,не,13:45,13,45,NA,NA,NA,Полошки,NA,13,Гостивар,Gostivar,Gostivar
03.12.2017,02.12.2017,02,12,2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,65,61,Фиат Добло,да,17:30,17,30,NA,NA,NA,Скопски,Карпош,17,Карпош,Skopje,Skopje
27.12.2017,26.12.2017,26,12,2017,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,50,54,Фиат Дукато,да,7:00,7,00,NA,NA,NA,Скопски,Карпош,7,Карпош,Skopje,Skopje
30.12.2017,29.12.2017,29,12,2017,Кичево,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,76,23,Опел Астра,да,19:20,19,20,NA,NA,NA,Југозападен,NA,19,Кичево,Kičevo,Kičevo
19.01.2018,18.01.2018,18,01,2018,с.Облешево,Open,сообраќајна незгода,велосипед,автобус,смрт,58,60,Автобус,не,16:00,16,00,NA,NA,NA,Источен,Чешиново-Облешево,16,Чешиново-Облешево,Češinovo-Obleševo,Češinovo-Obleševo
21.01.2018,20.01.2018,20,01,2018,Скопје,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,64,40,Фолксваген Поло,да,17:20,17,20,NA,NA,NA,Скопски,Кисела Вода,17,Кисела Вода,Skopje,Skopje
03.02.2018,02.02.2018,02,02,2018,Тетово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,51,41,Пежо 208,да,8:30,8,30,ж,NA,NA,Полошки,NA,8,Тетово,Tetovo,Tetovo
19.02.2018,18.02.2018,18,02,2018,Куманово,Urban,сообраќајна незгода,велосипед,автомобил,тешка повреда,56,61,Сеат Кордоба,не,5:40,5,40,NA,NA,NA,Североисточен,NA,5,Куманово,Kumanovo,Kumanovo
